일자,언론사,제목,특성추출(가중치순 상위 50개),URL
2022-08-01,국민일보,"文, 귀향 후 첫 여행 제주서 1주일 여름 휴가","제주,평산마을,경남,제주도,1주일,여름휴가,대한항공,부산발,분들,오영훈,김정숙,양산시,펼침막,페이스북,항공편,제주공항,월요일,문재인,대통령,여름,이날,예정,귀향,휴가,사진,계획,지역,시위,주민,식사",https://news.kmib.co.kr/article/view.asp?arcid=0017332673&code=61111111&cp=kd
2022-08-01,문화일보,"文, 귀향 후 제주로 첫 여름휴가 1주일 예정","제주,경남,1주일,오영훈,분들,대한항공,양산시,며칠간,부산발,페이스북,제주공항,평산마을,김정숙,정치권,문재인,여름휴가,제주지사,대통령,사저,이날,계획,여름,예정,지인,휴식,임기,귀향,식사,휴가,시위,여사,도착,정치,지사",http://www.munhwa.com/news/view.html?no=2022080101039910021013
2022-08-01,매일신문,[화보] '검은 선글라스' 쓰고 제주도 찾은 문재인 전 대통령,"문재인,제주도,여름휴가,청와대,김한규,제주,양산,더불어민주당,경남,평산마을,이준석,당원,비서관,지지자,서울,제주공항,윤석열,김정숙,반팔,부산발,제주도발,존재감,대한항공,오영훈,지지자들",https://news.imaeil.com/page/view/2022080121331255950
2022-08-01,중앙일보,"파란색 셔츠에 선글라스 쓴 文, 제주 찾았다 귀향 후 첫 휴가","제주,경남,분들,대한항공,부산발,오영훈,양산시,며칠간,김정숙,페이스북,항공편,제주공항,평산마을,1주일,문재인,대통령,귀향,휴가,이날,여사,임기,사저,선글라스,도착,여름,시위,계획,모습,공항,식사",https://www.joongang.co.kr/article/25091321
2022-08-01,한라일보,문재인 전 대통령 귀향 후 첫 휴가 제주로 왔다,"제주,경남,분들,부산발,대한항공,오영훈,양산시,며칠간,항공편,페이스북,제주공항,평산마을,김정숙,1주일,문재인,대통령,여름,이날,귀향,휴가,임기,사저,예정,시위,식사,여사,계획,도착,지사,지인,휴식",http://www.ihalla.com/article.php?aid=1659358686730110121
2022-08-01,매일경제,"'검은 선글라스' 文 전 대통령, 귀향 후 제주로 첫 여름휴가","제주,경남,부산발,대한항공,분들,오영훈,양산시,며칠간,항공편,페이스북,제주공항,경남지역,김정숙,여름휴가,평산마을,문재인,대통령측,1주일,대통령,여름,귀향,예정,임기,사저,휴가,이날,여사,시위,계획,식사,도착,지사,지인,참고",http://news.mk.co.kr/newsRead.php?no=677526&year=2022
2022-08-01,경향신문,문재인 전 대통령 귀향 후 제주로 첫 여행,"제주,경남,분들,부산발,대한항공,오영훈,며칠간,양산시,항공편,페이스북,제주공항,경남지역,김정숙,평산마을,문재인,1주일,대통령측,대통령,귀향,여름,임기,사저,예정,휴가,이날,여사,시위,계획,식사,지사,도착,여행,지인",https://www.khan.co.kr/politics/politics-general/article/202208012128001
2022-08-01,아시아경제,문재인 전 대통령 귀향 후 제주로 첫 여행,"제주,경남,부산발,대한항공,오영훈,양산시,항공편,제주공항,평산마을,김정숙,문재인,1주일,대통령,이날,귀향,여름,임기,사저,예정,식사,여사,도착,지사,여행,지인,휴식,지역,휴가,방문",https://view.asiae.co.kr/article/2022080121160677012
2022-08-01,헤럴드경제,"선글라스 쓴 文, 귀향 후 첫 여름 휴가로 제주 찾았다","제주,경남,분들,부산발,대한항공,오영훈,양산시,며칠간,항공편,페이스북,제주공항,평산마을,김정숙,1주일,문재인,대통령,여름,귀향,이날,임기,사저,예정,휴가,참고,시위,식사,여사,계획,도착,지사,지인,휴식",http://biz.heraldcorp.com/view.php?ud=20220801000833
2022-08-01,한국일보,"文 전 대통령, 귀향 후 첫 여행... 제주서 1주일 휴가","제주,경남,김정숙,제주공항,오영훈,평산마을,부산,항공편,분들,양산시,1주일,비서실,김해공항발,사회관계,대한항공,사회관계망서비스,보수단체들,더불어민주당,제주지사,월요일,문재인,sns,대통령",https://hankookilbo.com/News/Read/A2022080121010005868
2022-08-01,매일신문,"문재인 전 대통령 부부, 제주서 1주일 여름휴가 오영훈 지사도 만난다","제주,경남,오영훈,여름휴가,분들,부산발,대한항공,양산시,며칠간,1주일,항공편,페이스북,제주공항,평산마을,김정숙,문재인,대통령,이날,지사,여름,임기,사저,부부,귀향,시위,계획,휴가,여사,도착,식사,예정,지역,지인",https://news.imaeil.com/page/view/2022080120514091573
2022-08-01,부산일보,"문 전 대통령 부부, 양산 귀향 후 제주서 첫 여름 휴가","제주,경남,김정숙,제주공항,1주일,분들,부산발,오영훈,대한항공,양산시,문재인,며칠간,페이스북,항공편,양산,평산마을,대통령,여름,예정,휴가,귀향,이날,도착,사저,부부,여사,아내",http://www.busan.com/view/busan/view.php?code=2022080120574937207
2022-08-02,세계일보,제주로 휴가 떠난 文 전 대통령 고성 욕설 시위도 잠시 멈췄다,"평산마을,제주,양산,3개월,주민들,시위자,제주공항,오영훈,부산발,단체들,김정숙,대한항공,분들,경남,문재인,며칠간,고성",http://www.segye.com/content/html/2022/08/02/20220802514262.html
2022-08-02,매일경제,"휴가 떠난 文에 전여옥 ""나랏돈 '휴가행차' 실내 선글라스 웃겨""","이준석,나랏돈,전여옥,제주,일주일,제주도,오영훈,부산발,대한항공,전략회의,문재인,휴가행차,교통편,김정은,김정숙,페이스북,제주공항,비서진들,항공편,선글,비서진,경호원,백수휴가,새누리당,sns,휴가,대통령,선글라스,의원,이날,시즌",http://news.mk.co.kr/newsRead.php?no=679392&year=2022
2022-08-02,국민일보,文 여름 휴가에 평산마을도 휴전 시위 소음 멈췄다,"평산마을,경남,제주,주민들,3개월,일주일,시위자,대한항공,부산발,1주일,분들,며칠간,양산,사생활,공감대,불가능,만큼,첫걸음,한상철,확성기",https://news.kmib.co.kr/article/view.asp?arcid=0017335561&code=61111111&cp=kd
2022-08-02,디지털타임스,"전여옥, 휴가 떠난 文 직격 ""마스크에 선글라스까지 짝퉁 김정은 비슷""","제주,경남,이준석,페이스북,오영훈,제주도,분들,부산발,대한항공,양산시,김정은,나랏돈,전략회의,줄무늬,전여옥,문재인,며칠간,교통편,비서진들,항공편,비서진,제주공항,평산마을,1주일,경호원,휴가행차,김정숙,여름휴가,백수휴가",http://www.dt.co.kr/contents.html?article_no=2022080202109919036012&ref=jeadan
2022-08-02,헤럴드경제,"文 제주行에 전여옥 “백수도 휴가, 실내서 선글라스 웃겨” 조롱","제주,페이스북,전여옥,분들,오영훈,부산발,대한항공,문재인,며칠간,소셜미디어,경호원,비서진들,평산성,비서진,김정숙,제주공항,항공편,처절,나랏돈,1주일,제주도,새누리당,sns,대통령,휴가,선글라스,의원,이날,조롱,여름,백수,실내,참고",http://biz.heraldcorp.com/view.php?ud=20220802000564
2022-08-02,조선일보,"제주로 휴가 간 文부부, 해수욕장 방문 탁현민도 동행","제주,비서관,청와대,문재인,탁현민,온라인,해수욕장,대한항공,부산발,분들,래시가드에,노무현,오영훈,올레길,며칠간,카키색,반팔티",https://www.chosun.com/politics/politics_general/2022/08/02/5YNUJJ2LKFHJHKR7ODUKC3VQ3Q/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
2022-08-02,매일신문,"휴가 떠난 文에 '늙은 아이돌' 전여옥 ""처절한 시선끌기""","제주,평산마을,제주공항,일주일,나랏돈,전여옥,오영훈,페이스북,부산발,대한항공,제주도,처절,양산시,경호원,평산성,김정숙,비서진들,항공편,비서진,문재인,새누리당,sns,일주일가량,대통령,선글라스,휴가,모습,집회,의원,단체,행차",https://news.imaeil.com/page/view/2022080219440022537
2022-08-02,서울경제,"파란 체크 셔츠에 선글라스 文, 제주서 귀향 첫 휴가","제주,경남,분들,부산발,대한항공,오영훈,양산시,체크무늬,며칠간,항공편,페이스북,제주공항,평산마을,김정숙,1주일,문재인,대통령,귀향,휴가,이날,셔츠,선글라스,여름,임기,사저,파란색,시위,식사,여사",http://www.sedaily.com/NewsView/269N43SKBU
