일자,언론사,제목,특성추출(가중치순 상위 50개),URL
2022-03-23,아시아경제,"한진칼, 주총서 KCGI에 '완승' ""대한항공도 전부 통과""(종합)","한진칼,kcgi,코로나19,대한항공,한진그룹,서윤석,아시아나항공,대한민국,위원회,회사쪽,변경안,류경표,지주사,조원태",https://view.asiae.co.kr/article/2022032315070230948
2022-03-23,경향신문,한진그룹 조원태 회장 사모펀드 KCGI에 다시 완승,"kcgi,한진칼,대한항공,한진그룹,아시아나항공,사외이사,강성부,자회사,명예교수,율촌,산업은행,한진빌딩,조현아,부사장,대한민국,정족수,연세대,주인기,서울",https://www.khan.co.kr/economy/economy-general/article/202203231206001
2022-03-23,문화일보,"조원태 회장, 한진칼 표 대결서 완승 KCGI 제안 모두 부결","한진칼,대한항공,kcgi,위원회,경영권,한진그룹,아시아나항공,서울,주주총회,러시아,판매업,델타항공,정기주주총회,의결권,진에어,조원태",http://www.munhwa.com/news/view.html?no=20220323MW161324862696
2022-03-23,서울경제,"조원태, 한진칼 주총 표대결 '압승'","한진칼,kcgi,주주총회,한진그룹,아시아나항공,대한항공,코로나19,서울,중구,조원태,석태수,서윤석,임직원,한마음,임직원들",http://www.sedaily.com/NewsView/263J3L3IZ4
2022-03-23,매일경제,"""이변 없었다"" 대한항공 조원태 회장, 사모펀드 KCGI에 완승","한진칼,대한항공,kcgi,아시아나항공,부사장,사외이사,조원태,신고국,한진빌딩,율촌,산업은행,행동주의,정족수",http://news.mk.co.kr/newsRead.php?no=264688&year=2022
2022-03-23,디지털타임스,조원태 `완승` 막 내린 한진칼 경영권 분쟁,"한진칼,대한항공,조원태,아시아나항공,서울,전자투표,한진그룹,한진빌딩,박남규,선임안,서윤석",http://www.dt.co.kr/contents.html?article_no=2022032302109932031003&ref=jeadan
2022-03-23,중앙일보,한진칼 주총서 KCGI 이사진 선임 제안 부결 조원태 승리,"한진칼,kcgi,주주총회,코로나19,한진그룹,대한항공,산업은행,율촌,아시아나항공,조원태,석태수",https://www.joongang.co.kr/article/25057590
2022-03-23,아주경제,"​조원태 한진그룹 회장 ""메가 캐리어 원년, 종합물류전문기업 도약할 것""","코로나19,한진칼,대한항공,조원태,한진그룹,종합물류전문기업,유동성,경쟁력,기업결합,인사말,석태수,경영방침,아시아나항공,서울",https://www.ajunews.com/view/20220323101935524
2022-03-23,머니투데이,"조원태 한진 회장 ""올해 글로벌 메가 캐리어 원년""","코로나19,한진칼,유동성,대한항공,인사말,아시아나항공,서울,조원태,대한민국,경쟁력,경영방침,석태수,한진,한진그룹",http://news.moneytoday.co.kr/view/mtview.php?no=2022032309363529354&type=2
2022-03-23,아시아경제,한진칼 주총서 KCGI 제안 부결 조원태 회장 승기,"한진칼,kcgi,코로나19,한진그룹,아시아나항공,서윤석,조원태,대한민국,대한항공,위원회,류경표,회사쪽,지주사",https://view.asiae.co.kr/article/2022032310504981368
2022-03-23,헤럴드경제,'KCGI 추천' 한진칼 사외이사 선임안 부결 조원태 압승,"한진칼,kcgi,조원태,사외이사,한진그룹,아시아나항공,자회사,산업은행,율촌,대한항공,대한민국,서울,한진빌딩,이화여자대학교,정족수,연세대,인사말",http://biz.heraldcorp.com/view.php?ud=20220323000330
